TRACT,Geographic Area Name_x,Poverty Level_Original_Value,Food Stamps_Original_Value,Disability under 5 years_Original_Value,Total population 5 years and over_Original_Value,Speak English less than very well_Original_Value,Other than english_Original_Value,Spanish_Original_Value,Indo-European languages_Original_Value,Asian and Pacific Island languages_Original_Value,Other languages_Original_Value,Naturalized U.S. citizen_Original_Value,Non U.S. citizen_Original_Value,Foster Children_Original_Value,Education Level (Highscool Degree Only or Below)_Original_Value,Pregancy_Original_Value,Low BirthWeights_Original_Value,Unemployment_Original_Value,Uninsured_Original_Value,Age below 5 Years_Original_Value,Population 0-5_Original_Value,Free Lunch Students_Original_Value,"Low Income Tract (1=yes, 0=no)_Original_Value",Food Dessert_Original_Value,No Vehicle_Original_Value,Zip Code_Original_Value,Divorced_Original_Value,Seperated_Original_Value,Unnamed: 0.1,Geographic Area Name_y,Zip Code,Poverty Level,Food Stamps,Disability under 5 years,Total population 5 years and over,Speak English less than very well,Other than english,Spanish,Indo-European languages,Asian and Pacific Island languages,Other languages,Naturalized U.S. citizen,Non U.S. citizen,Foster Children,Education Level (Highscool Degree Only or Below),Pregancy,Low BirthWeights,Unemployment,Uninsured,Divorced,Seperated,Age below 5 Years,Population 0-5,Free Lunch Students,"Low Income Tract (1=yes, 0=no)",Food Dessert,No Vehicle,Foreign Born & Disadvantaged,Income Constrained,ECS Screening,Key,Health Zone,Name
12031000100,"Census Tract 1, Duval County, Florida",1593,323,13,5004,137,360,288,0,72,0,435,202,0,902,0,69,453,768,487,487,,1,1743.396556,420,32206,973.172,279.296,0,"Census Tract 1, Duval County, Florida",32206,81,64,100,46,16,18,29,1,15,1,49,32,1,60,1,62,97,74,82,100,53,43,,100,53,94,48,74,79,1,1,1
12031000200,"Census Tract 2, Duval County, Florida",855,185,0,2283,28,52,38,0,14,0,35,29,20,655,56,37,207,334,99,155,,1,1783.696402,210,32206,278.388,95.931,1,"Census Tract 2, Duval County, Florida",32206,43,37,1,21,4,3,5,1,4,1,5,6,21,43,27,33,44,32,20,35,11,13,,100,54,48,18,49,34,2,1,2
12031000300,"Census Tract 3, Duval County, Florida",998,136,0,2137,0,32,14,0,18,0,0,0,0,699,60,28,154,467,271,331,,1,1699.117202,163,32206,274.5,111.63,2,"Census Tract 3, Duval County, Florida",32206,51,28,1,20,1,2,2,1,5,1,1,1,1,46,29,25,32,44,20,40,30,29,,100,51,37,18,48,27,,1,3
12031000600,"Census Tract 6, Duval County, Florida",1761,390,0,5415,983,1293,444,39,795,15,285,866,11,1121,186,53,150,999,488,674,226,1,1500.356103,418,32247,548.64,194.4,3,"Census Tract 6, Duval County, Florida",32247,90,77,1,50,100,65,45,10,100,10,32,100,12,76,87,47,31,96,44,70,53,60,28,100,46,94,69,77,60,,1,6
12031000700,"Census Tract 7, Duval County, Florida",754,75,0,3926,198,434,94,73,247,20,166,296,0,237,64,22,123,349,324,388,,0,1120.011684,96,32207,331.248,86.832,4,"Census Tract 7, Duval County, Florida",32207,38,16,1,36,23,22,10,17,50,12,19,47,1,14,30,19,25,33,25,32,35,34,,0,34,22,24,21,20,,2,7
12031000800,"Census Tract 8, Duval County, Florida",298,43,19,2504,59,302,138,83,15,66,162,67,0,133,25,9,37,300,148,173,,0,821.7429348,209,32207,483,24.15,5,"Census Tract 8, Duval County, Florida",32207,15,9,100,23,8,15,15,19,4,39,19,11,1,6,13,7,7,28,38,10,16,14,,0,25,47,12,16,29,,2,8
12031001000,"Census Tract 10, Duval County, Florida",850,0,0,4295,150,313,173,69,60,11,177,142,0,1791,57,16,41,427,6,63,,1,178.7873688,579,32202,631.368,247.428,6,"Census Tract 10, Duval County, Florida",32202,43,1,1,39,18,16,18,16,13,7,20,23,1,100,27,14,8,41,52,88,1,4,,100,6,100,35,46,34,,1,10
12031001100,"Census Tract 11, Duval County, Florida",313,65,0,1694,20,81,20,54,0,7,25,69,46,241,19,15,54,263,90,109,,1,792.7864895,174,32202,346.332,39.494,7,"Census Tract 11, Duval County, Florida",32202,16,14,1,16,3,4,3,13,1,5,4,12,47,14,10,13,10,25,26,15,10,9,,100,25,40,9,30,22,,1,11
12031001200,"Census Tract 12, Duval County, Florida",648,39,0,1969,29,191,71,56,37,27,40,94,24,236,21,18,160,385,134,155,582,1,560.9298715,243,32206,428.736,120.12,8,"Census Tract 12, Duval County, Florida",32206,33,9,1,18,4,10,8,13,8,16,5,16,25,14,11,16,33,36,34,43,15,13,72,100,18,55,14,33,25,,1,12
12031001300,"Census Tract 13, Duval County, Florida",1390,307,0,3676,58,122,96,4,8,14,66,42,18,826,106,59,127,584,243,349,361,1,1872.203436,474,32209,462.9,101.838,9,"Census Tract 13, Duval County, Florida",32209,71,61,1,34,8,6,10,2,3,9,8,8,19,55,50,53,26,56,37,37,27,31,45,100,57,100,29,71,46,,1,13
