Census Tract #,Latitude,Longitude,Key
9900,30.3790534,-81.3635855,1
174,30.332646,-81.633713,1
173,30.2737719,-81.9400913,1
172,30.3303596,-81.6639688,1
171,30.3125843,-81.6774118,1
168.08,30.1702766,-81.6230968,1
168.07,30.1647831,-81.615291,1
168.06,30.1267195,-81.5602172,1
168.05,30.1552354,-81.5738755,1
168.04,30.1562726,-81.6615509,1
168.03,30.1457171,-81.6161818,1
168.01,30.1762636,-81.64032,1
167.29,30.1734544,-81.5898972,1
167.28,30.1815254,-81.5736403,1
167.27,30.1809574,-81.6161331,1
167.26,30.191627,-81.618859,1
167.25,30.2027914,-81.5671073,1
167.24,30.2134826,-81.6102038,1
167.22,30.195021,-81.603842,1
167.11,30.2028268,-81.6407906,1
166.04,30.2395921,-81.6182015,1
166.03,30.2233874,-81.6038077,1
166.01,30.2519335,-81.6085062,1
165,30.2475901,-81.6375433,1
164,30.2807919,-81.6615816,1
163,30.2716069,-81.6326543,1
162,30.2761195,-81.6236125,1
161,30.2886362,-81.6123687,1
160,30.272369,-81.59968,1
159.26,30.2420638,-81.5689853,1
159.25,30.2280675,-81.5554795,1
159.24,30.2708678,-81.5853389,1
159.23,30.2583558,-81.5682563,1
159.22,30.2097212,-81.5593938,1
158.02,30.30639,-81.563881,1
158.01,30.2975978,-81.5824574,1
157,30.3022282,-81.605797,1
156,30.312694,-81.617528,1
155.02,30.3215346,-81.5713656,1
155.01,30.3209312,-81.5851258,1
154,30.3346297,-81.5959038,1
153,30.3360928,-81.6094548,1
152,30.3465716,-81.5965045,1
151,30.3418347,-81.5838052,1
150.02,30.3278595,-81.5667233,1
150.01,30.345027,-81.5651031,1
149.02,30.3571138,-81.5679002,1
149.01,30.3611074,-81.581521,1
148,30.3556081,-81.6086069,1
147.02,30.3816272,-81.5830561,1
147.01,30.3847867,-81.6079926,1
146.04,30.3317411,-81.5459584,1
146.03,30.344524,-81.535282,1
146.01,30.3809604,-81.5471209,1
145,30.2999082,-81.5532145,1
144.13,30.174473,-81.5357813,1
144.12,30.1745516,-81.474019,1
144.11,30.1991011,-81.5303521,1
144.1,30.2683249,-81.4499542,1
144.09,30.2732074,-81.473977,1
144.08,30.275759,-81.4293293,1
144.06,30.2296727,-81.530634,1
144.04,30.2759928,-81.515292,1
144.01,30.2693599,-81.5316673,1
143.38,30.3105301,-81.5214843,1
143.37,30.310443,-81.5027941,1
143.36,30.330438,-81.4810918,1
143.35,30.3491975,-81.474147,1
143.34,30.3686007,-81.4952613,1
143.33,30.3650687,-81.5091526,1
143.32,30.3088335,-81.4353483,1
143.31,30.2986914,-81.4501939,1
143.3,30.3600838,-81.4623792,1
143.29,30.3350713,-81.4632406,1
143.28,30.3398424,-81.50745,1
143.26,30.2966255,-81.4749252,1
143.12,30.2910144,-81.5120863,1
143.11,30.3004582,-81.5339825,1
142.04,30.2698181,-81.4098762,1
142.03,30.2580307,-81.3906783,1
142.02,30.2812545,-81.3897644,1
141.02,30.2978292,-81.3943189,1
141.01,30.2971204,-81.4125149,1
140.02,30.3182098,-81.4248919,1
140.01,30.310943,-81.4026595,1
139.06,30.3511628,-81.4069546,1
139.05,30.352452,-81.397996,1
139.04,30.3644818,-81.4179801,1
139.02,30.3330513,-81.4228841,1
139.01,30.3550467,-81.4313603,1
138,30.3845555,-81.417826,1
137.27,30.1949026,-81.7916264,1
137.26,30.2145007,-81.7999733,1
137.23,30.2166546,-81.8282401,1
137.21,30.2690004,-81.8511648,1
135.22,30.2203042,-81.7261858,1
135.21,30.2226552,-81.7489972,1
135.04,30.2398284,-81.7846793,1
135.03,30.2119413,-81.7620345,1
135.02,30.2173425,-81.7776864,1
134.04,30.2526243,-81.719772,1
134.03,30.2588304,-81.7335148,1
134.02,30.2379183,-81.7270959,1
133,30.2095811,-81.7118822,1
132,30.2221088,-81.6691279,1
131,30.2486237,-81.6879314,1
130,30.2644489,-81.6994344,1
